T_C,j_A_cm2,error_V,valid
0.5,0.4475,2.8218453604900162e-06,True
0.5,0.4525,2.8777719597306017e-06,True
0.5,0.4575,2.9331711172142505e-06,True
0.5,0.4625,2.988065517461891e-06,True
0.5,0.4675,3.0424766397363356e-06,True
0.5,0.47250000000000003,3.0964248316500687e-06,True
0.5,0.47750000000000004,3.1499293814407636e-06,True
0.5,0.48250000000000004,3.2030085841405764e-06,True
0.5,0.4875,3.255679799529787e-06,True
0.5,0.4925,3.3079595120888428e-06,True
0.5,0.4975,3.3598633816245282e-06,True
5.5,5e-10,6.2193847849556505e-09,True
5.5,1.084300648087722e-09,1.3487410965851154e-08,True
5.5,1.2671151427991833e-09,1.5761404847935978e-08,True
5.5,1.4807523982786558e-09,1.8418796932095916e-08,True
5.5,1.7304091719433345e-09,2.1524227511449112e-08,True
5.5,2.022158401246853e-09,2.5153236604680274e-08,True
5.5,2.363096928769132e-09,2.939409871061116e-08,True
5.5,2.7615181339478187e-09,3.4349971755887054e-08,True
5.5,3.2271136707434075e-09,4.0141405976967803e-08,True
5.5,3.771209218536234e-09,4.6909274020734415e-08,True
5.5,4.4070399809302176e-09,5.481819864705528e-08,True
5.5,5.150072634012047e-09,6.406055463870075e-08,True
5.5,6.018381555504162e-09,7.486114572685665e-08,True
5.5,7.033088486640534e-09,8.748266999702992e-08,True
5.5,8.218876321604705e-09,1.0223210322735099e-07,True
5.5,9.604589522532925e-09,1.1946815670071942e-07,True
5.5,1.1223935765265053e-08,1.3960998535011981e-07,True
5.5,1.3116305883478639e-08,1.631473611762857e-07,True
5.5,1.5327732056466708e-08,1.906525435302342e-07,True
5.5,1.7912007548616885e-08,2.2279413736114861e-07,True
5.5,2.093199523841801e-08,2.603532538447695e-07,True
5.5,2.446115676715346e-08,3.042423448729181e-07,True
5.5,2.8585339504046212e-08,3.555271397281956e-07,True
5.5,3.340486479604349e-08,4.154521473509476e-07,True
5.5,3.903696829922185e-08,4.854702635448405e-07,True
5.5,4.561865175323028e-08,5.672770491127466e-07,True
5.5,5.331001556860105e-08,6.62850272892257e-07,True
5.5,6.229815329260023e-08,7.744953143262734e-07,True
5.5,7.280170268706899e-08,9.048969171754351e-07,True
5.5,8.507616412388804e-08,1.0571776025702917e-06,True
5.5,9.942011566881027e-08,1.2349626348218123e-06,True
5.5,1.1618247603648405e-07,1.4424506866728137e-06,True
5.5,1.357709920891076e-07,1.6844880710298327e-06,True
5.5,1.5866215733835693e-07,1.9666421993136396e-06,True
5.5,1.854128027195958e-07,2.295266354757075e-06,True
5.5,2.1667364158564133e-07,2.677541991458199e-06,True
5.5,2.532050984040335e-07,3.1214754150354906e-06,True
5.5,2.958958061931839e-07,3.6358108943534972e-06,True
5.5,3.4578422265023266e-07,4.2297991538209345e-06,True
5.5,4.040838907860794e-07,4.912724841821259e-06,True
5.5,4.722129585362281e-07,5.6930435707869265e-06,True
5.5,5.518286754162768e-07,6.5769021873052225e-06,True
5.5,6.448677053582382e-07,7.565709484458338e-06,True
5.5,7.535932363433208e-07,8.652288415511578e-06,True
5.5,8.806500327798515e-07,9.814991242862448e-06,True
5.5,1.0291287697834797e-06,1.1009050306931556e-05,True
5.5,1.2026412143004133e-06,1.2154499638317162e-05,True
5.5,1.4054080818654717e-06,1.312049472801391e-05,True
5.5,1.6423617061234313e-06,1.3707202799695395e-05,True
5.5,1.919266018564754e-06,1.3629150146021729e-05,True
5.5,2.242856757000253e-06,1.2508225770702097e-05,True
5.5,2.6210053133663435e-06,9.889475647950619e-06,True
5.5,3.062910206482632e-06,5.29489967382446e-06,True
5.5,3.579320837364593e-06,1.6765508588090228e-06,True
5.5,4.182798969972031e-06,1.1215922306684334e-05,True
5.5,4.8880242979506284e-06,2.3182225544760016e-05,True
5.5,5.7121515303221566e-06,3.705465655179374e-05,True
5.5,6.6752276822850066e-06,5.200336398414329e-05,True
5.5,7.800679721784456e-06,6.706504458686702e-05,True
5.5,9.115884433926798e-06,8.135151059174284e-05,True
5.5,1.0652834365272401e-05,9.420716908348226e-05,True
5.5,1.244891604719963e-05,0.00010527045445463123,True
